[1/3] C 소스 파일 컴파일 중: files/main.c
[2/3] CPU 및 16MB DRAM 초기화 중...
[3/3] 파이프라인 시뮬레이션 시작

========================= Simulation Running =========================
[00000 Cycle] IF_PC: 0x00000000 | ID_PC: 0x00000000 | EX_PC: 0x00000000 | sp: 0x00000000 | a0: 0 | s0: 0 | s5: 0
[00001 Cycle] IF_PC: 0x00000004 | ID_PC: 0x00000000 | EX_PC: 0x00000000 | sp: 0x00000000 | a0: 0 | s0: 0 | s5: 0
[00002 Cycle] IF_PC: 0x00000008 | ID_PC: 0x00000004 | EX_PC: 0x00000000 | sp: 0x00000000 | a0: 0 | s0: 0 | s5: 0
[00003 Cycle] IF_PC: 0x0000000C | ID_PC: 0x00000008 | EX_PC: 0x00000004 | sp: 0x00000000 | a0: 0 | s0: 0 | s5: 0
[00004 Cycle] IF_PC: 0x000001FC | ID_PC: 0x00000000 | EX_PC: 0x00000000 | sp: 0x00000000 | a0: 0 | s0: 0 | s5: 0
[00005 Cycle] IF_PC: 0x00000200 | ID_PC: 0x000001FC | EX_PC: 0x00000000 | sp: 0x00800000 | a0: 0 | s0: 0 | s5: 0
[00006 Cycle] IF_PC: 0x00000204 | ID_PC: 0x00000200 | EX_PC: 0x000001FC | sp: 0x00800000 | a0: 0 | s0: 0 | s5: 0
[00007 Cycle] IF_PC: 0x00000208 | ID_PC: 0x00000204 | EX_PC: 0x00000200 | sp: 0x00800000 | a0: 0 | s0: 0 | s5: 0
[00008 Cycle] IF_PC: 0x0000020C | ID_PC: 0x00000208 | EX_PC: 0x00000204 | sp: 0x00800000 | a0: 0 | s0: 0 | s5: 0
[00009 Cycle] IF_PC: 0x0000020C | ID_PC: 0x00000208 | EX_PC: 0x00000204 | sp: 0x007FFFD0 | a0: 0 | s0: 0 | s5: 0
[00010 Cycle] IF_PC: 0x0000020C | ID_PC: 0x00000208 | EX_PC: 0x00000204 | sp: 0x007FFFD0 | a0: 0 | s0: 0 | s5: 0
[00011 Cycle] IF_PC: 0x0000020C | ID_PC: 0x00000208 | EX_PC: 0x00000204 | sp: 0x007FFFD0 | a0: 0 | s0: 0 | s5: 0
[00012 Cycle] IF_PC: 0x0000020C | ID_PC: 0x00000208 | EX_PC: 0x00000204 | sp: 0x007FFFD0 | a0: 0 | s0: 0 | s5: 0
[00013 Cycle] IF_PC: 0x00000210 | ID_PC: 0x0000020C | EX_PC: 0x00000208 | sp: 0x007FFFD0 | a0: 0 | s0: 0 | s5: 0
[00014 Cycle] IF_PC: 0x00000210 | ID_PC: 0x0000020C | EX_PC: 0x00000208 | sp: 0x007FFFD0 | a0: 0 | s0: 0 | s5: 0
[00015 Cycle] IF_PC: 0x00000210 | ID_PC: 0x0000020C | EX_PC: 0x00000208 | sp: 0x007FFFD0 | a0: 0 | s0: 0 | s5: 0
[00016 Cycle] IF_PC: 0x00000210 | ID_PC: 0x0000020C | EX_PC: 0x00000208 | sp: 0x007FFFD0 | a0: 0 | s0: 0 | s5: 0
[00017 Cycle] IF_PC: 0x00000210 | ID_PC: 0x0000020C | EX_PC: 0x00000208 | sp: 0x007FFFD0 | a0: 0 | s0: 0 | s5: 0
[00018 Cycle] IF_PC: 0x00000214 | ID_PC: 0x00000210 | EX_PC: 0x0000020C | sp: 0x007FFFD0 | a0: 0 | s0: 0 | s5: 0
[00019 Cycle] IF_PC: 0x00000218 | ID_PC: 0x00000214 | EX_PC: 0x00000210 | sp: 0x007FFFD0 | a0: 0 | s0: 0 | s5: 0
[00020 Cycle] IF_PC: 0x0000021C | ID_PC: 0x00000218 | EX_PC: 0x00000214 | sp: 0x007FFFD0 | a0: 0 | s0: 8388608 | s5: 0
[00021 Cycle] IF_PC: 0x0000021C | ID_PC: 0x00000218 | EX_PC: 0x00000214 | sp: 0x007FFFD0 | a0: 0 | s0: 8388608 | s5: 636
[00022 Cycle] IF_PC: 0x0000021C | ID_PC: 0x00000218 | EX_PC: 0x00000214 | sp: 0x007FFFD0 | a0: 0 | s0: 8388608 | s5: 636
[00023 Cycle] IF_PC: 0x0000021C | ID_PC: 0x00000218 | EX_PC: 0x00000214 | sp: 0x007FFFD0 | a0: 0 | s0: 8388608 | s5: 636
[00024 Cycle] IF_PC: 0x0000021C | ID_PC: 0x00000218 | EX_PC: 0x00000214 | sp: 0x007FFFD0 | a0: 0 | s0: 8388608 | s5: 636
[00025 Cycle] IF_PC: 0x00000220 | ID_PC: 0x0000021C | EX_PC: 0x00000218 | sp: 0x007FFFD0 | a0: 0 | s0: 8388608 | s5: 636
[00026 Cycle] IF_PC: 0x00000220 | ID_PC: 0x0000021C | EX_PC: 0x00000218 | sp: 0x007FFFD0 | a0: 0 | s0: 8388608 | s5: 636
[00027 Cycle] IF_PC: 0x00000220 | ID_PC: 0x0000021C | EX_PC: 0x00000218 | sp: 0x007FFFD0 | a0: 0 | s0: 8388608 | s5: 636
[00028 Cycle] IF_PC: 0x00000220 | ID_PC: 0x0000021C | EX_PC: 0x00000218 | sp: 0x007FFFD0 | a0: 0 | s0: 8388608 | s5: 636
[00029 Cycle] IF_PC: 0x00000220 | ID_PC: 0x0000021C | EX_PC: 0x00000218 | sp: 0x007FFFD0 | a0: 0 | s0: 8388608 | s5: 636
[00030 Cycle] IF_PC: 0x00000224 | ID_PC: 0x00000220 | EX_PC: 0x0000021C | sp: 0x007FFFD0 | a0: 0 | s0: 8388608 | s5: 636
[00031 Cycle] IF_PC: 0x00000224 | ID_PC: 0x00000220 | EX_PC: 0x0000021C | sp: 0x007FFFD0 | a0: 0 | s0: 8388608 | s5: 636
[00032 Cycle] IF_PC: 0x00000224 | ID_PC: 0x00000220 | EX_PC: 0x0000021C | sp: 0x007FFFD0 | a0: 0 | s0: 8388608 | s5: 636
[00033 Cycle] IF_PC: 0x00000224 | ID_PC: 0x00000220 | EX_PC: 0x0000021C | sp: 0x007FFFD0 | a0: 0 | s0: 8388608 | s5: 636
[00034 Cycle] IF_PC: 0x00000224 | ID_PC: 0x00000220 | EX_PC: 0x0000021C | sp: 0x007FFFD0 | a0: 0 | s0: 8388608 | s5: 636
